央视,#genre#
CCTV-1 综合,http://107.150.60.122/live/cctv1hd.m3u8
CCTV-2 财经,http://107.150.60.122/live/cctv2hd.m3u8
CCTV-3 综艺,http://107.150.60.122/live/cctv3hd.m3u8
CCTV-4 中文国际,http://107.150.60.122/live/cctv4hd.m3u8
CCTV-5 体育,http://107.150.60.122/live/cctv5hd.m3u8
CCTV-5+ 体育赛事,http://107.150.60.122/live/cctv5p.m3u8
CCTV-6 电影,http://107.150.60.122/live/cctv6hd.m3u8
CCTV-7 国防军事,http://107.150.60.122/live/cctv7hd.m3u8
CCTV-8 电视剧,http://107.150.60.122/live/cctv8hd.m3u8
CCTV-9 纪录,http://107.150.60.122/live/cctv9hd.m3u8
CCTV-10 科教,http://107.150.60.122/live/cctv10hd.m3u8
CCTV-11 戏曲,http://107.150.60.122/live/cctv11hd.m3u8
CCTV-12 社会与法,http://107.150.60.122/live/cctv12hd.m3u8
CCTV-13 新闻,http://107.150.60.122/live/cctv13hd.m3u8
CCTV-14 少儿,http://107.150.60.122/live/cctv14hd.m3u8
CCTV-15 音乐,http://107.150.60.122/live/cctv15hd.m3u8
CCTV-16 奥林匹克,http://107.150.60.122/live/cctv16hd.m3u8
CCTV-17 农业农村,http://107.150.60.122/live/cctv17hd.m3u8
CCTV-4K 超高清,http://107.150.60.122/live/cctv4k.m3u8
CCTV-8K 超高清,http://107.150.60.122/live/cctv8k.m3u8

卫视,#genre#
湖南卫视,http://107.150.60.122/live/hnwshd.m3u8
东方卫视,http://107.150.60.122/live/dfwshd.m3u8
浙江卫视,http://107.150.60.122/live/zjwshd.m3u8
江苏卫视,http://107.150.60.122/live/jswshd.m3u8
重庆卫视,http://107.150.60.122/live/cqwshd.m3u8
东南卫视,http://107.150.60.122/live/dnwshd.m3u8
广西卫视,http://107.150.60.122/live/gxwshd.m3u8
湖北卫视,http://107.150.60.122/live/hbwshd.m3u8
辽宁卫视,http://107.150.60.122/live/lnwshd.m3u8
山东卫视,http://107.150.60.122/live/sdwshd.m3u8
天津卫视,http://107.150.60.122/live/tjwshd.m3u8
陕西卫视,http://107.150.60.122/live/snwshd.m3u8
广东卫视,http://107.150.60.122/live/gdwshd.m3u8
深圳卫视,http://107.150.60.122/live/szwshd.m3u8
青海卫视,http://107.150.60.122/live/qhws.m3u8
西藏卫视,http://107.150.60.122/live/xzws.m3u8

少儿,#genre#
卡酷少儿,http://107.150.60.122/live/btvkk.m3u8


